horsepower,origin,mpg,cylinders,displacement,weight,acceleration,model year,car name
130,1.0,18.0,8.0,307.0,3504.0,12.0,70.0,chevrolet chevelle malibu
165,1.0,15.0,8.0,350.0,3693.0,11.5,70.0,buick skylark 320
150,1.0,18.0,8.0,318.0,3436.0,11.0,70.0,plymouth satellite
150,1.0,16.0,8.0,304.0,3433.0,12.0,70.0,amc rebel sst
140,1.0,17.0,8.0,302.0,3449.0,10.5,70.0,ford torino
198,1.0,15.0,8.0,429.0,4341.0,10.0,70.0,ford galaxie 500
220,1.0,14.0,8.0,454.0,4354.0,9.0,70.0,chevrolet impala
215,1.0,14.0,8.0,440.0,4312.0,8.5,70.0,plymouth fury iii
225,1.0,14.0,8.0,455.0,4425.0,10.0,70.0,pontiac catalina
190,1.0,15.0,8.0,390.0,3850.0,8.5,70.0,amc ambassador dpl
170,1.0,15.0,8.0,383.0,3563.0,10.0,70.0,dodge challenger se
160,1.0,14.0,8.0,340.0,3609.0,8.0,70.0,plymouth 'cuda 340
150,1.0,15.0,8.0,400.0,3761.0,9.5,70.0,chevrolet monte carlo
225,1.0,14.0,8.0,455.0,3086.0,10.0,70.0,buick estate wagon (sw)
95,3.0,24.0,4.0,113.0,2372.0,15.0,70.0,toyota corona mark ii
95,1.0,22.0,6.0,198.0,2833.0,15.5,70.0,plymouth duster
150,1.0,18.0,6.0,199.0,2774.0,15.5,70.0,amc hornet
85,1.0,21.0,6.0,200.0,2587.0,16.0,70.0,ford maverick
88,3.0,27.0,4.0,97.0,2130.0,14.5,70.0,datsun pl510
46,2.0,26.0,4.0,97.0,1835.0,20.5,70.0,volkswagen 1131 deluxe sedan
87,2.0,25.0,4.0,110.0,2672.0,17.5,70.0,peugeot 504
90,2.0,24.0,4.0,107.0,2430.0,14.5,70.0,audi 100 ls
95,2.0,25.0,4.0,104.0,2375.0,17.5,70.0,saab 99e
113,2.0,26.0,4.0,121.0,2234.0,12.5,70.0,bmw 2002
90,1.0,21.0,6.0,199.0,2648.0,15.0,70.0,amc gremlin
215,1.0,10.0,8.0,360.0,4615.0,14.0,70.0,ford f250
200,1.0,10.0,8.0,307.0,4376.0,15.0,70.0,chevy c20
210,1.0,11.0,8.0,318.0,4382.0,13.5,70.0,dodge d200
193,1.0,9.0,8.0,304.0,4732.0,18.5,70.0,hi 1200d
88,3.0,27.0,4.0,97.0,2130.0,14.5,71.0,datsun pl510
90,1.0,28.0,4.0,140.0,2264.0,15.5,71.0,chevrolet vega 2300
95,3.0,25.0,4.0,113.0,2228.0,14.0,71.0,toyota corona
150,1.0,25.0,4.0,98.0,2046.0,19.0,71.0,ford pinto
100,1.0,19.0,6.0,232.0,2634.0,13.0,71.0,amc gremlin
105,1.0,16.0,6.0,225.0,3439.0,15.5,71.0,plymouth satellite custom
100,1.0,17.0,6.0,250.0,3329.0,15.5,71.0,chevrolet chevelle malibu
88,1.0,19.0,6.0,250.0,3302.0,15.5,71.0,ford torino 500
100,1.0,18.0,6.0,232.0,3288.0,15.5,71.0,amc matador
165,1.0,14.0,8.0,350.0,4209.0,12.0,71.0,chevrolet impala
175,1.0,14.0,8.0,400.0,4464.0,11.5,71.0,pontiac catalina brougham
153,1.0,14.0,8.0,351.0,4154.0,13.5,71.0,ford galaxie 500
150,1.0,14.0,8.0,318.0,4096.0,13.0,71.0,plymouth fury iii
180,1.0,12.0,8.0,383.0,4955.0,11.5,71.0,dodge monaco (sw)
170,1.0,13.0,8.0,400.0,4746.0,12.0,71.0,ford country squire (sw)
175,1.0,13.0,8.0,400.0,5140.0,12.0,71.0,pontiac safari (sw)
150,1.0,18.0,6.0,258.0,2962.0,13.5,71.0,amc hornet sportabout (sw)
72,1.0,22.0,4.0,140.0,2408.0,19.0,71.0,chevrolet vega (sw)
100,1.0,19.0,6.0,250.0,3282.0,15.0,71.0,pontiac firebird
