horsepower,origin,mpg,cylinders,displacement,weight,acceleration,model year,name,other
130,1,18.0,8,307.0,3504,12.0,70,chevrolet chevelle malibu,2
165,1,15.0,8,350.0,3693,11.5,70,buick skylark 320,2
150,1,18.0,8,318.0,3436,11.0,70,plymouth satellite,2
150,1,16.0,8,304.0,3433,12.0,70,amc rebel sst,2
140,1,17.0,8,302.0,3449,10.5,70,ford torino,2
198,1,15.0,8,429.0,4341,10.0,70,ford galaxie 500,2
220,1,14.0,8,454.0,4354,9.0,70,chevrolet impala,2
215,1,14.0,8,440.0,4312,8.5,70,plymouth fury iii,2
225,1,14.0,8,455.0,4425,10.0,70,pontiac catalina,2
190,1,15.0,8,390.0,3850,8.5,70,amc ambassador dpl,2
170,1,15.0,8,383.0,3563,10.0,70,dodge challenger se,2
160,1,14.0,8,340.0,3609,8.0,70,plymouth 'cuda 340,2
150,1,15.0,8,400.0,3761,9.5,70,chevrolet monte carlo,2
225,1,14.0,8,455.0,3086,10.0,70,buick estate wagon (sw),2
95,3,24.0,4,113.0,2372,15.0,70,toyota corona mark ii,2
95,1,22.0,6,198.0,2833,15.5,70,plymouth duster,2
150,1,18.0,6,199.0,2774,15.5,70,amc hornet,2
85,1,21.0,6,200.0,2587,16.0,70,ford maverick,2
88,3,27.0,4,97.0,2130,14.5,70,datsun pl510,2
46,2,26.0,4,97.0,1835,20.5,70,volkswagen 1131 deluxe sedan,2
87,2,25.0,4,110.0,2672,17.5,70,peugeot 504,2
90,2,24.0,4,107.0,2430,14.5,70,audi 100 ls,2
95,2,25.0,4,104.0,2375,17.5,70,saab 99e,2
113,2,26.0,4,121.0,2234,12.5,70,bmw 2002,2
90,1,21.0,6,199.0,2648,15.0,70,amc gremlin,2
215,1,10.0,8,360.0,4615,14.0,70,ford f250,2
200,1,10.0,8,307.0,4376,15.0,70,chevy c20,2
210,1,11.0,8,318.0,4382,13.5,70,dodge d200,2
193,1,9.0,8,304.0,4732,18.5,70,hi 1200d,2
88,3,27.0,4,97.0,2130,14.5,71,datsun pl510,2
90,1,28.0,4,140.0,2264,15.5,71,chevrolet vega 2300,2
95,3,25.0,4,113.0,2228,14.0,71,toyota corona,2
150,1,25.0,4,98.0,2046,19.0,71,ford pinto,2
100,1,19.0,6,232.0,2634,13.0,71,amc gremlin,2
105,1,16.0,6,225.0,3439,15.5,71,plymouth satellite custom,2
100,1,17.0,6,250.0,3329,15.5,71,chevrolet chevelle malibu,2
88,1,19.0,6,250.0,3302,15.5,71,ford torino 500,2
100,1,18.0,6,232.0,3288,15.5,71,amc matador,2
