Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12
1.473,2.311,3.179,2.666,0.2795,0.2771,0.2234,0.1855,0.2539,1.138,1.111,4.712
1.46,2.377,3.214,2.92,0.2527,0.3064,0.02563,0.1965,0.3027,1.213,1.027,5.463
1.552,2.164,3.064,2.745,0.282,0.21,0.1721,0.1929,0.21,1.221,1.058,5.332
1.605,2.228,3.149,2.834,0.2917,0.3613,0.2087,0.1294,0.2734,1.144,1.062,4.829
1.534,2.114,3.309,2.976,0.21,0.2502,0.2258,0.177,0.2039,1.254,1.112,5.734
1.796,2.262,3.18,2.888,0.2966,0.1477,0.1624,0.282,0.2039,1.172,1.03,4.861
1.566,2.323,3.469,2.711,0.2417,0.05371,0.2112,-0.02686,0.2197,1.158,0.9924,4.78
1.425,2.152,3.287,2.781,0.2991,0.2075,0.1038,0.1147,0.2698,1.271,1.115,5.662
1.595,2.271,3.323,2.743,0.1733,0.1965,0.1685,0.05859,0.2051,1.29,1.033,5.145
1.628,2.211,3.176,2.71,0.08423,0.1892,0.2783,0.1685,0.3491,1.155,1.008,5.613
1.583,2.253,3.278,2.854,0.1489,0.1099,0.2283,0.07324,0.2173,1.135,1.112,5.549
1.454,2.277,3.322,2.866,0.3015,0.2832,0.2124,0.1562,0.2637,1.14,1.229,4.929
1.617,2.183,3.226,2.71,0.1221,0.2563,0.01587,0.1404,0.2856,1.255,1.033,5.376
1.482,2.344,3.181,2.894,0.2344,0.1782,0.2307,0.2051,0.2637,0.9558,1.086,5.157
1.443,2.26,3.143,2.705,0.2808,0.09644,0.1929,0.2197,0.2344,1.133,1.083,5.645
1.477,2.349,2.998,2.994,0.2466,0.1953,0.1794,0.09277,0.0415,1.227,1.075,5.686
1.527,2.206,3.322,2.892,0.21,0.1465,0.09521,0.1648,0.1929,1.222,1.071,5.2
1.599,2.296,3.439,2.662,0.2014,0.1941,0.2271,0.1343,0.08789,1.183,1.118,5.364
1.587,2.308,3.364,2.866,0.2625,0.1624,0.1025,0.2246,0.2991,1.218,1.158,4.751
1.521,2.366,3.203,2.986,0.2173,0.271,0.177,0.1306,0.2844,1.243,1.006,5.056
1.562,2.258,3.313,2.654,0.1648,0.1575,0.1807,0.177,0.376,1.117,1.086,5.443
1.438,2.57,3.169,2.77,0.1282,0.09277,0.1599,0.06836,0.2795,1.345,1.056,5.347
1.406,2.239,3.126,2.939,0.3625,0.199,0.1526,0.1697,0.188,1.129,1.083,5.348
1.644,2.317,3.219,2.542,0.3284,0.1782,0.2771,0.155,0.2307,1.194,1.046,4.972
1.378,2.375,3.077,2.708,0.4041,0.2209,0.1196,0.1892,0.2246,1.141,1.069,5.724
1.537,2.379,3.319,2.772,0.2209,0.2161,0.3027,0.1611,0.2551,1.13,1.007,5.271
1.583,2.33,3.313,2.811,0.2246,0.166,0.1892,0,0.2222,1.191,1.121,5.206
1.527,2.103,3.126,2.848,0.2136,0.2051,0.1904,0.1038,0.2319,1.248,1.007,5.625
1.819,2.39,3.158,2.511,0.2722,0.1355,0.1721,0.09277,0.1062,1.125,1.03,5.348
1.573,2.368,3.29,2.869,0.1562,0.2515,0.2393,0.1013,0.249,1.184,0.9717,5.356
1.516,2.358,3.131,2.816,0.1514,0.1538,0.2332,0.1489,0.1819,1.205,1.053,5.017
1.63,2.267,3.154,2.919,0.3027,0.1392,0.1184,0.2039,0.06836,1.095,0.9729,5.02
1.497,2.279,3.182,2.947,0.282,0.1831,0.2356,0.127,0.2698,1.195,1.101,5.205
1.688,2.366,3.35,3.043,0.2515,0.1685,0.238,0.1562,0.3662,1.187,1.094,5.33
1.741,2.273,3.232,3.059,0.1575,0.2051,0.2222,0.1648,0.2576,1.251,1.016,5.382
1.703,2.247,3.367,3.052,0.2759,0.07446,0.1758,0.1221,0.2356,1.2,1.079,5.43
2.643,2.142,3.463,3.121,0.2271,0.271,0.1782,0.0708,0.2209,1.201,1.102,5.677
3.151,2.317,3.357,3.575,0.1599,0.08179,0.2661,0.1807,0.199,1.107,1.051,4.746
3.923,2.207,3.824,4.642,0.6702,0.3186,0.4956,0.2136,0.4333,1.167,0.9119,5.17
4.102,2.019,4.781,5.681,1.282,0.426,0.8521,0.3638,0.8264,1.251,1.205,5.204
4.435,2.086,4.714,5.864,1.707,0.7373,0.791,0.4675,1.467,1.467,1.31,5.754
4.103,1.963,5.277,5.878,1.842,0.9705,0.8752,0.5347,1.912,1.81,2.312,4.922
4.457,1.788,5.488,5.916,2.103,1.232,1.025,0.5664,2.081,3.182,5.317,5.082
4.515,1.779,5.64,5.953,2.219,1.401,1.147,0.4736,2.206,5.111,5.526,5.577
4.258,1.761,5.778,5.916,2.175,1.602,1.058,0.5981,2.228,5.15,5.244,5.414
4.493,1.698,5.748,5.886,2.383,1.676,1.202,0.4077,2.456,5.004,5.393,4.696
4.563,1.627,5.775,5.979,2.294,1.848,0.9766,0.6555,2.311,5.061,5.503,5.763
4.392,1.51,5.275,5.972,2.551,1.915,1.184,0.5615,2.307,5,5.447,5.769
4.409,1.44,5.459,5.972,2.482,2.002,1.007,0.5774,2.382,5.198,5.463,5.38
4.398,1.539,5.436,5.962,2.573,2.04,1.013,0.7031,2.462,5.105,5.261,5.076
4.441,1.538,5.391,5.959,2.616,2.136,1.195,0.6311,2.561,5.105,5.538,4.854
4.419,1.458,5.806,5.886,2.572,2.029,1.244,0.6555,2.395,5.106,5.403,5.53
4.578,1.421,5.387,5.975,2.754,2.129,1.144,0.7983,2.468,5.087,5.426,5.139
4.562,1.345,5.824,5.948,2.507,2.118,1.162,0.5127,2.346,5.125,5.321,5.043
4.427,1.167,5.564,5.963,2.603,2.203,1.113,0.6995,2.394,5.002,5.424,5.398
4.57,1.323,5.4,5.977,2.527,2.108,0.9351,0.6445,2.448,5.033,5.566,4.761
4.443,1.284,5.4,5.907,2.524,2.183,1.198,0.5896,2.5,5.074,5.492,5.515
4.421,1.348,5.845,5.911,2.483,2.183,1.14,0.7788,2.393,5.155,5.548,5.516
4.526,1.177,5.747,5.896,2.365,2.009,1.266,0.697,2.468,5.144,5.309,4.686
4.52,1.097,5.608,6.011,2.555,2.217,1.21,0.6018,2.422,5.088,5.385,5.499
